No.       freqHz          detadB
246         12100000000.0         173.00
247         12150000000.0         173.00
248         12200000000.0         173.00
249         12250000000.0         173.00
250         12300000000.0         173.00
251         12300000000.1         173.00
252         12350000000.0         173.00
253         12400000000.0         173.00
254         12450000000.0         173.00
255         12500000000.0         173.00
256         12550000000.0         172.00
257         12600000000.0         169.00
258         12650000000.0         167.00
259         12700000000.0         170.00
260         12750000000.0         172.00
261         12800000000.0         170.00
262         12850000000.0         173.00
263         12900000000.0         173.00
264         12950000000.0         173.00
265         13000000000.0         170.00
266         13050000000.0         173.00
267         13100000000.0         173.00
268         13150000000.0         171.00
269         13200000000.0         173.00
270         13250000000.0         172.00
271         13300000000.0         172.00
272         13350000000.0         171.00
273         13400000000.0         169.00
274         13450000000.0         163.00
275         13500000000.0         157.00
276         13550000000.0         159.00
277         13600000000.0         163.00
278         13650000000.0         167.00
279         13700000000.0         169.00
280         13750000000.0         170.00
281         13800000000.0         172.00
282         13850000000.0         172.00
283         13900000000.0         172.00
284         13950000000.0         172.00
285         14000000000.0         172.00
286         14050000000.0         172.00
287         14100000000.0         172.00
288         14150000000.0         172.00
289         14200000000.0         170.00
290         14250000000.0         170.00
291         14300000000.0         170.00
292         14350000000.0         169.00
293         14400000000.0         168.00
294         14450000000.0         168.00
295         14500000000.0         169.00
296         14550000000.0         169.00
297         14600000000.0         167.00
298         14650000000.0         169.00
299         14700000000.0         170.00
300         14750000000.0         170.00
301         14800000000.0         170.00
302         14850000000.0         170.00
303         14900000000.0         170.00
304         14950000000.0         169.00
305         15000000000.0         169.00
306         15050000000.0         169.00
307         15100000000.0         167.00
308         15150000000.0         167.00
309         15200000000.0         167.00
310         15250000000.0         167.00
311         15300000000.0         167.00
312         15350000000.0         167.00
313         15400000000.0         167.00
314         15450000000.0         167.00
315         15500000000.0         167.00
316         15550000000.0         167.00
317         15600000000.0         168.00
318         15650000000.0         168.00
319         15700000000.0         167.00
320         15700000000.1         165.00
321         15750000000.0         163.00
322         15800000000.0         163.00
323         15850000000.0         163.00
324         15900000000.0         162.00
325         15950000000.0         162.00
326         16000000000.0         162.00
327         16050000000.0         161.00
328         16100000000.0         161.00
329         16150000000.0         161.00
330         16200000000.0         161.00
331         16250000000.0         155.00
332         16300000000.0         155.00
333         16300000000.1         167.00
334         16350000000.0         167.00
335         16400000000.0         167.00
336         16450000000.0         167.00
337         16500000000.0         167.00
338         16550000000.0         165.00
339         16600000000.0         165.00
340         16650000000.0         165.00
341         16700000000.0         166.00
342         16750000000.0         166.00
343         16800000000.0         166.00
344         16850000000.0         165.00
345         16900000000.0         165.00
346         16950000000.0         165.00
347         17000000000.0         164.00
348         17050000000.0         164.00
349         17100000000.0         164.00
350         17150000000.0         163.00
351         17200000000.0         163.00
352         17250000000.0         162.00
353         17300000000.0         162.00
354         17350000000.0         162.00
355         17400000000.0         163.00
356         17450000000.0         163.00
357         17500000000.0         163.00
358         17550000000.0         163.00
359         17600000000.0         161.00
360         17650000000.0         158.00
361         17700000000.0         156.00
362         17750000000.0         157.00
363         17800000000.0         157.00
364         17850000000.0         158.00
365         17900000000.0         159.00
366         17950000000.0         159.00
367         18000000000.0         161.00
368         18050000000.0         161.00
369         18100000000.0         159.00
370         18150000000.0         157.00
371         18200000000.0         156.00
372         18250000000.0         152.00
373         18300000000.0         150.00
374         18350000000.0         146.00
375         18400000000.0         148.00
376         18450000000.0         150.00
377         18500000000.0         150.00
378         18550000000.0         152.00
379         18600000000.0         155.00
380         18650000000.0         156.00
381         18700000000.0         158.00
382         18750000000.0         159.00
383         18800000000.0         160.00
384         18850000000.0         161.00
385         18900000000.0         162.00
386         18950000000.0         162.00
387         19000000000.0         162.00
388         19050000000.0         162.00
389         19100000000.0         161.00
390         19150000000.0         160.00
391         19200000000.0         159.00
392         19250000000.0         159.00
393         19300000000.0         159.00
394         19350000000.0         159.00
395         19400000000.0         159.00
396         19450000000.0         159.00
397         19500000000.0         159.00
398         19500000000.1         165.00
399         19550000000.0         166.00
400         19600000000.0         167.00
401         19650000000.0         167.00
402         19700000000.0         167.00
403         19750000000.0         167.00
404         19800000000.0         168.00
405         19850000000.0         168.00
406         19900000000.0         167.00
407         19950000000.0         165.00
408         20000000000.0         162.00
409         20050000000.0         166.00
410         20100000000.0         168.00
411         20150000000.0         168.00
412         20200000000.0         167.00
413         20250000000.0         167.00
414         20300000000.0         167.00
415         20350000000.0         167.00
416         20400000000.0         166.00
417         20450000000.0         165.00
418         20500000000.0         164.00
419         20550000000.0         161.00
420         20600000000.0         158.00
421         20650000000.0         151.00
422         20700000000.0         153.00
423         20750000000.0         157.00
424         20800000000.0         161.00
425         20850000000.0         163.00
426         20900000000.0         165.00
427         20950000000.0         165.00
428         21000000000.0         165.00
429         21050000000.0         163.00
430         21100000000.0         161.00
431         21150000000.0         159.00
432         21200000000.0         158.00
433         21250000000.0         156.00
434         21300000000.0         158.00
435         21350000000.0         159.00
436         21400000000.0         162.00
437         21450000000.0         163.00
