No. freqHz  powerdB
0    50000000.0    9.86
1    100000000.0    9.86
2    150000000.0    9.86
3    200000000.0    9.90
4    250000000.0    9.90
5    300000000.0    9.90
6    350000000.0    9.90
7    400000000.0    9.95
8    450000000.0    9.92
9    500000000.0    9.92
10    550000000.0    9.95
11    600000000.0    9.99
12    650000000.0    9.99
13    700000000.0    9.99
14    750000000.0    9.99
15    800000000.0    9.99
16    850000000.0    9.99
