No. freqHz  powerdB
246    12050000000.0    11.45
247    12100000000.0    11.45
248    12150000000.0    11.45
249    12200000000.0    11.39
250    12250000000.0    11.43
251    12300000000.0    11.43
252    12350000000.0    11.43
253    12400000000.0    11.43
254    12450000000.0    11.39
255    12500000000.0    11.39
256    12550000000.0    11.43
257    12600000000.0    11.43
258    12650000000.0    11.52
259    12700000000.0    11.48
260    12750000000.0    11.48
261    12800000000.0    11.38
262    12850000000.0    11.38
263    12900000000.0    11.41
264    12950000000.0    11.49
265    13000000000.0    11.56
266    13050000000.0    11.56
267    13100000000.0    11.56
268    13150000000.0    11.47
269    13200000000.0    11.40
270    13250000000.0    11.40
271    13300000000.0    11.46
272    13350000000.0    11.46
273    13400000000.0    11.50
274    13450000000.0    11.50
275    13500000000.0    11.46
276    13550000000.0    11.46
277    13600000000.0    11.46
278    13650000000.0    11.52
279    13700000000.0    11.52
280    13750000000.0    11.57
281    13800000000.0    11.53
282    13850000000.0    11.58
283    13900000000.0    11.52
284    13950000000.0    11.52
285    14000000000.0    11.52
286    14050000000.0    11.52
287    14100000000.0    11.57
288    14150000000.0    11.53
289    14200000000.0    11.58
290    14250000000.0    11.54
291    14300000000.0    11.54
292    14350000000.0    11.54
293    14400000000.0    11.54
294    14450000000.0    11.54
295    14500000000.0    11.57
296    14550000000.0    11.57
297    14600000000.0    11.65
298    14650000000.0    11.65
299    14700000000.0    11.68
300    14750000000.0    11.68
301    14800000000.0    11.61
302    14850000000.0    11.61
303    14900000000.0    11.61
304    14950000000.0    11.65
305    15000000000.0    11.73
306    15000000000.1    11.73
307    15050000000.0    11.73
308    15100000000.0    11.73
309    15150000000.0    11.73
310    15200000000.0    11.68
311    15250000000.0    11.77
312    15300000000.0    11.88
313    15350000000.0    12.07
314    15400000000.0    12.07
315    15450000000.0    12.12
316    15500000000.0    12.04
317    15550000000.0    12.25
318    15600000000.0    12.60
319    15650000000.0    12.92
320    15700000000.0    13.52
321    15750000000.0    13.61
322    15800000000.0    16.45
323    15850000000.0    16.45
324    15900000000.0    16.63
325    15950000000.0    16.24
326    16000000000.0    15.71
327    16050000000.0    15.08
328    16100000000.0    14.60
329    16150000000.0    14.45
330    16200000000.0    13.99
331    16250000000.0    13.80
332    16300000000.0    13.67
333    16350000000.0    12.97
334    16400000000.0    12.91
335    16450000000.0    12.63
336    16500000000.0    12.42
